№ п/п,Торговое название и синоним,Международное название,Лекарственная форма выпуска,Страна-производитель,Фирма производитель,Фармакотерапевтическая группа,Код АТХ,№ Регистрационного удостоверения,Дата регистрации и перерегис-трации,Дата изменения к регистрационному удостоверению,Условия отпуска,,
343,"ДЕКАСАН®
(Decasanum)",decamethoxin,"Раствор 0,2 мг/мл 200 мл, 400 мл (бутылки стеклянные), 2 мл N12 (контейнеры однодозовые полимерные)",Украина,"Юрия-Фарм, ООО","Препарат, применяемый в дерматологии/Антисептик и дезинфицирующий препарат/Четвертичное аммониевое соединение/Декаметоксин",D08AJ10,DV/X 06140/05/19,06.05.19 31.01.25,,без рецепта,,
344,"ДЕКСАБУТ
(Deksabut)",comb.drug (dexamethasone; salicylamide; phenylbutazone; cyanocobalamin),"Раствор для иньекций - раствор А 2 мл N3 (ампулы), раствор В 1 мл N3 (ампулы)",Грузия,"Alliance Czechfarm S.R.O., Чешская Республика произведено: Биополюс,ООО","Комбинированное средство, содержащее кортикостероид",M01BA01,DV/X 03716/11/17,21.11.17 30.04.25,,по рецепту,,
345,"ДЕКСАМЕТАЗОН - ДАРНИЦА
(Dexamethasonum)",dexamethasone,"Раствор для инъекций 4 мг/мл 1 мл N5 (1x5), N10 (2x5) (ампулы)",Украина,"Дарница, Фармацевтическая фирма, ЧАО",Кортикостероид для системного применения. Глюкокортикоид. Дексаметазон,Н02АВ02,DV/X 05153/10/18,08.10.20 18.11.24,,по рецепту,,
346,"ДЕКСАМЕТАЗОН- ДАРНИЦА
(Dexamethasonum)",dexamethasone,"Капли глазные, раствор 1 мг/мл 10 мл (флаконы с крышкой-капельницей)",Украина,"Дарница, Фармацевтическая фирма, ЧАО",Препарат для лечения заболеваний глаз. Противовоспалительный препарат. Кортикостероид. Дексаметазон,S01BA01,DV/X 05152/10/18,08.10.20 18.11.24,,по рецепту,,
347,"Дексаметазон
(Deksametazon)",dexamethasone,Капли глазные 1 мг/мл 5 мл N1 (флаконы с крышкой капельницей),Беларусь,"Белмедпрепараты, РУП","Органы чувств. Препараты, применяемые в офтальмологии. Противовоспалительные препараты. Кортикостероиды. Дексаметазон",S01BA01,DV/X 07234/12/19,13.12.19 01.07.25,,по рецепту,,
348,"ДЕКСАМЕТАЗОН
(Deksametazon)",dexamethasone,Раствор для инъекций 4 мг/мл 1 мл №5 (ампулы),Украина,"ГНЦЛС, ОЗ, ООО произведено Здоровье,ФК, ООО",Кортикостероиды для системного применения. Глюкокортикоиды.,Н02АB02,DV/X 00005/01/15,30/01/15 27.08.25,,по рецепту,,
349,"ДЕКСАМЕТАЗОН
(Dexamethasonum)",dexamethasone,"Раствор для инъекций 4 мг/мл 1 мл N10 (1х10), N10 (2х5) (ампулы)",Россия,"Дальхимфарм, ОАО",Глюкокортикоид,S01BA01,DV/X 02835/04/17,11.04.17 29.03.22,,по рецепту,,
350,"ДЕКСАМЕТАЗОН
(Dexamethasonum)",dexamethasone,"Таблетки 0,5 мг N50 (5х10) (блистеры)",Украина,"Укрфармэкспорт, ООО произведено: Здоровье, ФК, ООО",Глюкокортикостероид,H02AB02,DV/X 02844/04/17,11.04.17 16.06.22,введены изменения: 28.08.23,по рецепту,,
351,"ДЕКСАМЕТАЗОН
(Dexamethazon)",dexamethasone,Раствор для инъекций 4 мг/мл 1 мл N5 (1x5) (ампулы),Украина,"Лекхим-Харьков, ЧАО",Кортикостероид для системного применения,Н02АB02,DV/X 05200/10/18,22.10.18 28.03.25,,по рецепту,,
352,"ДЕКСАМЕТАЗОНА ФОСФАТ
(Deksametazon fosfat)",dexamethasone,Раствор для инъекций 4 мг/мл 1 мл N10 (2x5) (ампулы),Украина,"Фармак, АО",Кортикостероид для системного применения. Глюкокортикоид,Н02АB02,DV/X 04845/08/18,06.08.18 19.07.24,,по рецепту,,
353,"ДЕКСКЕТОПРОФЕН
(Dexketoprofen)",dexketoprofen,"Раствор для внутривенного и внутримышечного введения 25 мг/мл, 2 мл N5 (1х5), N10 (2х5) (ампулы)",Россия,"Промомед Рус, OOO произведено: Биохимик, АО",Нестероидное противовоспалительное средство,M01AE17,DV/X 09570/12/21,23/12/21,,по рецепту,,
354,"ДЕКСКЕТОПРОФЕН-ЛФ
(Dexketoprofen-LF)",dexketoprofen,Раствор для внутривенного и внутримышечного введения 50 мг/2 мл 2 мл №5 (1x5) (ампулы cтеклянные),Беларусь,"Лекфарм, СООО",Костно-мышечная система. Противовоспалительные и противоревматические средства. Производные пропионовой кислоты.,M01AE17,DV/X 04520/06/18/1,22.06.18 16.07.25,введены изменения: 19.09.25,по рецепту,,
355,"ДЕКСОНАЛ®
(Deksonal)",dexketoprofen,"Таблетки, покрытые пленочной оболочкой 25 мг N10 (блистеры)",Россия,"Алиум, АО",Нестероидное противовоспалительное средство,M01AE17,DV/X 10500/07/23,14/07/23,,по рецепту,,
356,"ДЕКСТАНОЛ®
(Dextanol)",dexketoprofen,"Гель для наружного применения 12,5 мг /1 г по 60 г (тубы)",Казахстан,"Нобель, Алматинская Фармацевтическая фабрика, АО",Нестероидное противовоспалительное средство,M02AA27,DV/X 08955/05/21,25/05/21,,без рецепта,,
357,"ДЕПАНТОЛ®
(Depantol)",comb.drug (dexpanthenol; chlorhexidine),"Суппозитории вагинальные 100 мг + 16 мг N10 (2x5), N20 (4x5) (упаковки контурные ячейковые)",Россия,"Нижфарм, АО",Антисептик и противомикробный препарат для лечения гинекологических заболеваний (исключая комбинации с кортикостероидами). Прочие антисептики и противомикробные препараты для лечения гинекологических заболеваний,G01АХ,DV/X 06030/03/19,29.03.19 18.11.24,,без рецепта,,
358,"ДЕСКЕТ
(Desket)",dexketoprofen,"Раствор для инъекций 25 мг/мл 2 мл N5, N10 (ампулы)",Украина,"Лекхим-Харьков, ЧАО",Нестероидное противовоспалительное средство,M01AE17,DV/X 08513/12/20,29/12/20,,по рецепту,,
359,"ДЕСМОПРЕССИН
(Desmopressin)",desmopressin,Капли в нос 100 мкг/мл 5 мл N1 (флакон c пипеткой),Грузия,"Биофарм, АО",Антидиуретик (гормональный препарат),H01BA02,DV/X 06602/07/19,23.07.19 07.03.25,,по рецепту,,
360,"ДЗ-ВИТ
(D3-VIT)",colecalciferol,Капли для приема внутрь 15000 МЕ/мл 10 мл (флакон-капельницы),Беларусь,"Фармтехнология, ООО",Витамины,A11CC05,DV/X 10000/07/22,19/07/22,,без рецепта,,
361,"ДИАГЛИЗИД® MR
(Diaglizid MR)",gliclazide,"Таблетки с модифицированным высвобождением 60 мг N30 (3х10), N60 (6х10) (блистеры)",Украина,"Фармак, АО",Противодиабетическое средство (пероральное),А10ВВ09,DV/X 01252/01/16,15.01.16 21.01.21,введены изменения: 30.11.21,по рецепту,,
362,"ДИАЗОЛИН - СБ-ФАРМА
(Diazolin-SB-Farma)",mebhydroline,"Драже 50 мг, 100 мг N10 (1х10), N20 (2х10) (блистеры)",Украина,"Форс-Фарма Дистрибюшн, ООО произведено: Витамины, АО",Антиаллергическое средство,R06AX15,DV/X 09505/12/21,23/12/21,,по рецепту,,
363,"ДИАЗОЛИН®
(Diazolin)",mebhydrolin,"Драже 0,05 г, 0,1 г N20 (2х10) (упаковки контурные ячейки)",Украина,"Фармак, АО",Антиаллергическое средство,R06AX15,DV/X 04490/06/18,07.06.18 08.06.23,,без рецепта,,
364,"ДИАЗОЛИН®
(Diazolinum)",mebhydrolin,"Таблетки 0,1 г N20 (2x10) (блистеры)",Украина,"Фармак, АО",Антиаллергическое средство,R06AX15,DV/X 01092/11/15,27.11.15 29.12.20,введены изменения: 21.12.22,без рецепта,,
365,"ДИАЛИПОН® ТУРБО
(Dialipon Turbo)",thioctic acid*,"Раствор для инфузий 1,2% 50 мл N10 (флаконы)",Украина,"Фармак, АО",Средство для коррекции метаболических процессов,А16АХ01,DV/X 05735/02/19,01.02.19 27.08.24,,по рецепту,,
366,"ДИАЛИПОН®
(Dialipon)",thioctic acid*,Капсулы 300 мг N30 (3х10) (блистеры),Украина,"Фармак, АО",Средство для коррекции метаболических процессов,A16AX01,DV/X 04559/06/18,22.06.18 28.07.23,,по рецепту,,
367,"ДИАЛИПОН®
(Dialipon)",thioctic acid*,"Раствор для инфузий 3% 10 мл, 20 мл N5 (1x5) (ампулы)",Украина,"Фармак, АО",Средство для коррекции метаболических процессов,A16AX01,DV/X 04560/06/18,22.06.18 11.08.23,,по рецепту,,
368,"ДИАПИРИД
(Diapirid)",glimepiride,"Таблетки 2 мг, 3 мг, 4 мг N30 (3x10), N60 (6x10) (блистеры)",Украина,"Фармак, АО",Противодиабетическое средство (пероральное),А10ВВ12,DV/X 03605/09/17,22.09.17 30.09.22,,по рецепту,,
369,"ДИАСКИНТЕСТ® АЛЛЕРГЕН ТУБЕРКУЛЕЗНЫЙ РЕКОМБИНАНТНЫЙ В СТАНДАРТНОМ РАЗВЕДЕНИИ
(Diaskintest Tuberkulyoz allergeni, rekombinant, standart suyultirilgan)",recombinant tuberculosis allergen in standard dilution,"Раствор для внутрикожного введения 1 доза 0,1 мл 30 доз 3 мл (флаконы)",Россия,"Генериум, АО",МИБП–аллерген,V01AA20,DV/X 05753/02/19,18.02.19 19.07.24,,по рецепту,,
370,"ДИАФОРМИН SR
(Diaformin SR)",metformin,"Таблетки пролонгированного действия 1000 мг N30 (10х3), N60 (10х6), N100 (10х10) (блистеры)",Украина,"Фармак, АО",Противодиабетическое средство (пероральное),A10BA02,DV/X 08647/03/21,01/03/21,введены изменения: 16.06.22,по рецепту,,
371,"ДИАФОРМИН® SR
(Diaformin® SR)",metformin,"Таблетки пролонгированного действия 1000 мгN30 3х10), N60 (6х10) (блистеры)",Украина,"Фармак, АО",Противодиабетическое средство (пероральное),A10BA02,DV/X 09711/03/22,29/03/22,,по рецепту,,
372,"ДИАФОРМИН®
(Diaformin)",metformin,"Таблетки 500 мг, 850 мг N30 (3x10), N60 (6x10) (блистеры)",Украина,"Фармак, АО",Противодиабетическое средство (пероральное),А10ВА02,DV/X 01865/06/16,17.06.16 15.06.21,,по рецепту,,
373,"ДИАФОРМИН®
(Diaforminum)",metformin,"Таблетки, покрытые пленочной оболочкой 1000 мг N60 (6х10) (блистеры)",Украина,"Фармак, ПАО",Противодиабетическое средство (пероральное),A10BA02,DV/X 05582/01/19,15.01.19 24.05.24,,по рецепту,,
374,"ДИБЕТАЗОН
(Dibetazon)",betamethasone,"Суспензия для внутримышечного, внутрисуставного, интрабурсального, внутрикожного, внутритканевого и внутриочагового введения 7 мг/мл 1 мл N1 N5 (1х5) (ампулы)",Грузия,"Биополюс, ООО",Глюкокортикостероид (кортикостероид для системного применения),Н02АВ01,DV/X 10730/08/24,07/08/24,,по рецепту,,
375,"ДИВАЗА
(Divaza)",comb.drug (affinity purified antibodies to brain specific S-100 protein; affinity purified antibodies to endothelial NO synthase),Таблетки для рассасывания гомеопатические N100 (5x20) (упаковки контурные ячейковые),Россия,"Материа Медика Холдинг, НПФ, ООО","Антигипоксантное, антиоксидантное средство","N06BX, N06DX, N05BX,",DV/X 02552/01/17,13.01.17 23.12.21,,по рецепту,,
376,"ДИГОКСИН
(DIGOKSIN)",digoxin,"Таблетки 0,25 мг №40 (2x20) (блистеры)",Украина,"Борщаговский ХФЗ, ПАО, НПЦ",Сердечно-сосудистая система. Препараты для лечения заболеваний сердца. Сердечные гликозиды. Гликозиды наперстянки. Дигоксин.,С01А А05,DV/X 06142/05/19,06.05.19 15.10.25,,по рецепту,,
377,"ДИГОКСИН
(Digoksin)",digoxin,"Раствор для инъекций 0,25 мг/мл 1 мл N10, N10 (1х10) (ампулы)",Украина,"Укрфармэкспорт, ООО произведено: Здоровье, фармацевтическая компания, ООО",Сердечный гликозид,C01AA05,DV/X 02593/02/17,03.02.17 04.03.22,введены изменения: 15.02.25,по рецепту,,
378,"ДИГОКСИН
(Digoksin)",digoxin,"Таблетки 0,1 мг N50 (5х10) (блистеры), N50, N50 (1x50) (банки или контейнеры)",Украина,"Укрфармэкспорт, ООО произведено: Здоровье, фармацевтическая компания, ООО",Сердечный гликозид,C01AA05,DV/X 02884/04/17,21.04.17 16.06.22,введены изменения: 15.02.25,по рецепту,,
379,"ДИГОКСИН-ЗДОРОВЬЕ
(Digoksin-Zdorovye)",digoxin,"Таблетки 0,25 мг N50, N50 (5х10), N50 (1х50) (блистеры)",Украина,"Укрфармэкспорт, ООО произведено: Здоровье, фармацевтическая компания, ООО",Сердечный гликозид,C01AA05,DV/X 01345/02/16,05.02.16 21.01.21,введены изменения: 15.02.25,по рецепту,,
380,"ДИЗАВЕРОКС
(Dizaverox)",comb.drug (zidovudine; lamivudine),"Таблетки, покрытые пленочной оболочкой 300 мг+150 мг N20 (2х10), N30 (3х10), N60 (6х10), N100 (10х10) (упаковки контурные ячейковые); N60, N100 (банки)",Россия,"Фармасинтез, АО",Противовирусное средство (средство против ВИЧ-инфекции),J05AG01,DV/X 01607/04/16,15.04.16 25.05.21,,по рецепту,,
381,"ДИКЛОВИТ®
(Diklovit)",diclofenac,Гель для наружного применения 1% 20 г (тубы),Россия,"Нижфарм, АО",Нестероидное противовоспалительное средство,M01AB05,DV/X 01630/04/16,15.04.16 09.04.21,,без рецепта,,
382,"ДИКЛОВИТ®
(Diklovit)",diclofenac,Суппозитории ректальные 50 мг N10 (2x5) (упаковки контурные ячейковые),Россия,"Нижфарм, АО",Нестероидное противовоспалительное средство,M01AB05,DV/X 01411/02/16,19.02.16 01.03.21,,по рецепту,,
383,"ДИКЛОН
(Diklon)",diclofenac,"Суппозитории 12,5 мг, 25 мг, 50 мг, 100 мг N10 (2х5) (блистеры)",Армения,"Медикал Горизон, ООО",Нестероидное противовоспалительное средство,M01AB05,DV/X 02885/04/17,21.04.17 13.04.22,,по рецепту,,
384,"ДИКЛОФЕНАК НАТРИЯ
(Diclofenac natrium)",diclofenac,"Раствор для внутримышечного введения 25 мг/мл 3 мл N10 (1x10), N5 (ампулы)",Беларусь,"Борисовский завод медицинских препаратов, ОАО",Нестероидное противовоспалительное средство,М01АВ05,DV/X 02651/02/17,03.02.17 14.02.22,,по рецепту,,
385,"ДИКЛОФЕНАК НАТРИЯ
(Diklofenak natriy)",diclofenac,Раствор для инъекций 25 мг/мл 3 мл N5 (ампулы),Украина,"Лекхим-Харьков, ЧАО",Нестероидное противовоспалительное средство. Производное уксусной кислоты и родственнее соединение,М01АВ05,DV/X 06918/10/19,10.10.19 30.04.25,,по рецепту,,
386,"ДИКЛОФЕНАК ОФТАЛЬМИК
(Diclofenac)",diclofenac,"Капли глазные 0,1% 10 мл (флакон-капельницы полиэтиленовые)",Армения,"Ликвор, ЗАО",Нестероидное противовоспалительное средство,S01BC03,DV/X 03399/07/17,21.07.17 16.06.22,,по рецепту,,
387,"ДИКЛОФЕНАК
(Diclofenac)",diclofenac,"Суппозитории ректальные 50 мг, 100 мг N10 (2х5) (упаковки контурные ячейковые)",Россия,"Дальхимфарм, ОАО",Нестероидный противовоспалительный препарат (НПВП),M01AB05,DV/X 05150/10/18,08.10.18 28.06.24,,по рецепту,,
388,"ДИКЛОФЕНАК
(Diclofenacum)",diclofenac,Суппозитории ректальные 50 мг N6 (1x6) (упаковки контурные ячейковые),Молдова,"Farmaprim, ООО",Нестероидное противовоспалительное средство,M01AB05,DV/X 05031/09/18,12.09.18 16.09.24,,по рецепту,,
389,"ДИКЛОФЕНАК
(Diclofenacum)",diclofenac,Суппозитории ректальные 100 мг N10 (2x5) (упаковки контурные ячейковые),Молдова,"Farmaprim, ООО",Нестероидное противовоспалительное средство,M01AB05,DV/X 05032/09/18,12.09.18 16.09.24,,по рецепту,,
390,"ДИКЛОФЕНАК
(Diklofenak/ Diclofenac)",diclofenac,Суппозитории ректальные 50 мг N10 (2x5) (упаковки контурные ячейковые),Россия,"Биосинтез, ПАО","Костно-мышечная система, противовоспалительный и противоревматический препарат, нестероидный противовоспалительный и противоревматический препарат, производное уксусной кислоты и родственные соединения, диклофенак",М01АВ05,DV/M 05196/10/18,22.10.18 19.04.25,,по рецепту,,
391,"ДИКЛОФЕНАК-АКОС
(DIKLOFENAK-AKOS)",diclofenac,"Гель для наружного применения 5% 30 г, 50 г, 100 г (тубы)",Россия,"Синтез, ПАО",Костно-мышечная система; препараты для местного применения при мышечных и суставных болях; нестероидные противовоспалительные препараты для местного применения; диклофенак,М02АА15,DV/X 07216/12/19,16.06.25,введены изменения: 13.08.25,без рецепта,,
392,"ДИКЛОФЕНАК-АКОС
(Diklofenak-AKOS)",diclofenac,Раствор для внутримышечного введения 25 мг/мл 3 мл N5 (1x5) (ампулы),Россия,"Синтез, ПАО","Костно-мышечная система; противовоспалительный и противоревматический препарат, нестероидный противовоспалительный и противоревматический препарат, производное уксусной кислоты и родственное соединение; диклофенак",M01AB05,DV/X 06145/05/19,06.05.19 31.01.25,введены изменения: 13.08.25,по рецепту,,
393,"ДИМАРИЛ
(Dimaril)",glimepiride,"Таблетки 2 мг, 3 мг, 4 мг N30 (10х3) (блистеры)",Украина,"Киевмедпрепарат, ПАО",Противодиабетическое средство (пероральное),A10BB12,DV/X 09292/09/21,10/09/21,,по рецепту,,
394,"ДИМЕДРОЛ- БЕЛМЕД
(Dimedrol)",diphenhydramine,"Раствор для внутривенного и внутримышечного введения 10 мг/мл 1 мл N5 (1х5), N10, N10 (2х5) (ампулы)",Беларусь,"Белмедпрепараты, РУП",Антиаллергическое средство,R06AA02,DV/X 03778/11/17,21.11.17 30.11.22,,по рецепту,,
395,"ДИМЕДРОЛ
(Dimedrol)",diphenhydramine,Раствор для внутривенного и внутримышечного введения 10 мг/мл 1 мл N10 (2х5); (1х10) (ампулы),Россия,"Дальхимфарм, ОАО",Антиаллергическое средство,R06AA02,DV/X 02252/10/16,04.10.16 10.09.21,,по рецепту,,
396,"ДИМЕКСИД- ЖФФ
(Dimexid)",dimethyl sulfoxide,Жидкость для наружного применения 50 мл (флаконы),Украина,"ДКП Фармацевтическая фабрика, ООО",Противовоспалительное средство местного действия,M02AX03,DV/X 03329/07/17,07.07.17 29.06.22,,без рецепта,,
397,"Динар
(Dinar)",,Раствор для инъекций 50 мг/мл 5 мл N10 (2x5) (ампулы),Украина,"Фармак, АО","Средства, влияющие на нервную систему",N07X X,DV/X 06201/05/19,06.05.19 16.07.25,,по рецепту,,
398,"ДИОКСИДИН
(Dioxydinum)",dioxydine*,"Раствор 10 мг/мл 10 мл N10 (1x10), N10 (2x5) (ампулы)",Украина,"Фармак, АО",Противомикробное средство (местное),J01XX,DV/X 01971/07/16,22.07.16 16.07.21,,по рецепту,,
399,"ДИОКСИДИН®
(Dioksidin)",hydroxymethylquinoxalindioxide,"Раствор для внутриполостного введения, местного и наружного применения 10 мг/мл, 10 мл N10 (2х5), N10 (1х10) (ампулы)",Россия,"Валента Фарм, АО произведено: Гротекс, ООО",Противомикробное средство местного применения,J01XX,DV/X 09690/03/22,04/03/22,,по рецепту,,
400,"ДИОКСИДИН®
(Dioxydinum)",hydroxymethylquinoxalindioxide,"Раствор для внутриполостного введения, местного и наружного применения 10 мг/мл 5 мл, 10 мл N10 (2х5); (1х10) (ампулы)",Россия,"Валента Фарм, АО произведено: Новосибхимфарм, АО",Противомикробное средство (местное),J01XX,DV/X 02657/02/17,03.02.17 04.03.22,,по рецепту,,
401,"ДИОКСИЗОЛЬ® - ДАРНИЦА
(Dioksizol - Darnitsa)",comb.drug (dioxydine; lidocaine),"Раствор для наружного применения 50 г, 100 г (флаконы или банки)",Украина,"Дарница, Фармацевтическая фирма, ЧАО",Антибактериальный препарат для системного применения. Прочий антибактериальный препарат,J01XX,DV/X 04351/05/18,11.05.18 29.11.24,,по рецепту,,
402,"ДИОФЛАН®
(Dioflan)",comb.drug (diosmin combinations)٭,"Таблетки, покрытые пленочной оболочкой 500 мг N30 (3x10), N60 (6x10) (блистеры)",Украина,"Киевмедпрепарат, ПАО","Капилляростабилизирующее средство. Биофлавоноид. Диосмин, комбинации",С05СА53,DV/X 05201/10/18,22.10.18 29.11.24,,без рецепта,,
403,"ДИПИРИДАМОЛ
(Dipiridamol)",dipyridamole,"Таблетки, покрытые оболочкой 75 мг N40 (4х10) (блистеры), N40 (банки)",Украина,"Здоровье, фармацевтическая компания, ООО",Антиагрегант,B01AC07,DV/X 03712/11/17,21.11.17 30.11.22,,по рецепту,,
404,"ДИПИРИДАМОЛ
(Dipyridamolum)",dipyridamole,"Раствор для инъекций 5 мг/мл 2 мл N5, N5 (1х5) (ампулы)",Украина,"ГНЦЛС, ОЗ, ООО произведено: Здоровье, ФК, ООО",Антиагрегант,B01AC07,DV/X 01703/05/16,20.05.16 23.04.21,,по рецепту,,
405,"ДИПРОФОЛ®
(Diprofol)",propofol,"Эмульсия для инфузий 10 мг/мл 20 мл N5 (1x5) (ампулы), 50 мл N1 (флаконы), 20 мг/мл 50 мл N1 (флаконы)",Украина,"Фармак, АО",Анестетик. Другой препарат для общей анестезии,N01AX10,DV/X 07113/11/19,22.11.19 19.04.25,,по рецепту,,
406,"ДИФЛЮЗОЛ®
(Diflyuzol)",fluconazole,Капсулы 100 мг N7 (1x7) (блистеры),Украина,"Киевмедпрепарат, ПАО",Противогрибковое средство,J02AC01,DV/X 02152/09/16,23.09.16 15.06.21,,по рецепту,,
407,"ДОКСИЦИКЛИН
(Doxycyclinum)",doxycycline,"Капсулы 100 мг N10, N10 (1x10), N20 (2x10) (упаковки контурные ячейковые)",Беларусь,"Борисовский завод медицинских препаратов, ОАО",Антибиотик (гр.тетрациклинов),J01AA02,DV/X 03111/06/17,06.06.17 25.05.22,введены изменения: 30.09.24,по рецепту,,
408,"ДОКСОРУБИЦИН ГИДРОХЛОРИД
(Doksorubitsin gidroxlorid)",doxorubicin,"Порошок лиофилизированный для приготовления раствора для внутривенного введения 10 мг N1, N40 (флаконы)",Беларусь,"Белмедпрепараты, РУП",Противоопухолевое средство,L01DB01,DV/X 02886/04/17,21.04.17 12.03.24,,по рецепту,,
409,"ДОМЕНИЦИН
(Domenitcin)",daptomycin,"Лиофилизат для приготовления раствора для внутривенного введения 350 мг, 500 мг N1, N5 (флаконы)",Россия,"Фармасинтез, АО",Антибактериальное средство,J01XX09,DV/X 10207/10/22,28/10/22,,по рецепту,,
410,"Доника
(Donika)",glucosamine,"Порошок для приготовления раствора для приема внутрь 1500 мг 3 г №5, №10 (пакетики)",Беларусь,"Мединтерпласт, Иностранное производственное унитарное предприятие",Стимулятор трофики тканей и регенерации,M01AX05,DV/X 09140/07/21,16.07.21,введены изменения: 19.09.25,без рецепта,,
411,"ДОТАГИТА
(Dotagita)",gadoteric acid,"Раствор для инъекций 279,32 мг/мл (0,5 ммоль/мл) 15 мл N1 (флаконы)",Украина,"Фармак, АО",Парамагнитное контрастное средство. Гадотеровая кислота,V08CA02,DV/X 10933/05/25,19/05/25,,по рецепту,,
412,"ДОФАМИН-ДАРНИЦА
(DOFAMIN-DARNITSA)",dopamine,Концентрат для раствора для инфузий 5 мг/мл и 40 мг/мл по 5 мл N10 (5x2) (ампулы),Украина,"Дарница, Фармацевтическая фирма, ЧАО",Кардиотоническое средство,С01СА04,DV/X 03201/06/17,16.06.17 20.09.22,,по рецепту,,
413,"ДОЦЕТАКСЕЛ
(Docetaxel)",docetaxel,"Концентрат для приготовления раствора для инфузий 20 мг/мл 1 мл, 2 мл, 4 мл N1 (флаконы)",Беларусь,"Белмедпрепараты, РУП",Противоопухолевое средство,L01CD02,DV/X 02738/03/17,06.03.17 13.04.22,,по рецепту,,
414,"ДОЦЕТАКСЕЛ
(Docetaxelum)",docetaxel,"Концентрат для приготовления раствора для инфузий 20 мг/мл, 80 мг/4 мл N1 (флаконы)",Казахстан,"Kelun-Kazpharm, TOO",Противоопухолевое средство,L01CD02,DV/X 02206/10/16,04.10.16 10.09.21,,по рецепту,,
415,"ДРОПЕРИДОЛ
(Droperidol)",droperidol,"Раствор для внутривенного и внутримышечного введения 2,5 мг/мл 2 мл, 5 мл N5 (1x5), N10 (2x5) (ампулы), 5 мл N5 (1x5) (флаконы)",Россия,"Московский эндокринный завод, ФГУП",Нейролептическое средство,N05AD08,DV/X 03775/11/17,21.11.17 14.11.22,,по рецепту,,
416,"Дротаверин- Лекхим
(Drotaverin - Lekxim)",drotaverine,Раствор для инъекций 20 мг/мл 2 мл N5 (ампулы),Украина,"Лекхим-Харьков, ЧАО",Пищеварительный тракт и обмен веществ. Препараты для лечения функциональных нарушений желудочно-кишечного тракта. Папаверин и его производные. Дротаверин,A03AD02,DV/X 05533/12/18,24.12.18 01.07.25,,по рецепту,,
417,"ДРОТАВЕРИН -ЛЕКХИМ
(Drotaverinum)",drotaverine,"Таблетки 0,04 г N10 (1x10), N30 (3x10) (блистеры)",Украина,"Лекхим-Харьков, ЧАО",Спазмолитическое средство,A03AD02,DV/X 01693/05/16/1,06.05.16 15.06.21,,без рецепта,,
418,"ДРОТАВЕРИН- ЛЕКХИМ
(Drotaverinum)",drotaverine,"Суппозитории ректальные 0,04 г N10 (2x5) (блистеры)",Украина,"Лекхим-Харьков, ЧАО",Спазмолитическое средство,A03AD02,DV/X 01693/05/16,06.05.16 15.06.21,,по рецепту,,
419,"ДРОТАВЕРИН
(Drotaverin)",drotaverine,Таблетки 40 мг N20 (2x10) (упаковки контурные ячейковые),Россия,"Ирбитский химфармзавод, ОАО","Препарат, влияющий на пищеварительный тракт и обмен веществ. Препарат для лечения функциональных расстройств желудочно-кишечного тракта. Папаверин и его производное. Дротаверин",А03АD02,DV/X 04902/08/18,13.08.18 28.03.25,,без рецепта,,
420,"ДРОТАВЕРИНА ГИДРОХЛОРИД
(Drotaverinum hydrochloridum)",drotaverine,"Таблетки 40 мг N10, N20 (2х10) (упаковки контурные ячейковые)",Беларусь,"Борисовский завод медицинских препаратов, ОАО",Спазмолитическое средство,А03AD02,DV/X 02660/02/17,03.02.17 14.02.22,,по рецепту,,
421,"ДЭ ТРИ ФЕРОЛ
(De Tri Ferol)",colecalciferol,"Капли для приема внутрь с анисовым, банановым вкусом 15000МЕ/мл 20 мл (флаконы)",Россия,"Гротекс, ООО",Витамин,A11CC05,DV/X 08875/04/21,23/04/21,,по рецепту,,
422,"ЖИВОКОСТА (ОКОПНИКА) МАЗЬ
(Unguentum sumphyti)",comb.drug (vitaminum E; symphytum),"Мазь 40 г N1 (тубы), 50 г, 90 г N1 (банки)",Украина,"ДКП Фармацевтическая фабрика, ООО",Местнораздражающее средство,М02АХ10,DV/X 03604/09/17,22.09.17 20.09.22,,без рецепта,,
423,"Зипелор
(Zipelor)",benzydamine,"Спрей для ротовой полости 1,5 мг/мл 30 мл (флаконы)",Украина,"Фармак, АО",Препараты применяемые в стоматологии. Другие препараты для местного лечения заболеваний полости рта. Бензидамин,А01АD02,DV/X 07535/03/20,20/03/20 27.08.25,,без рецепта,,
424,"ЗОЛЕДРОНОВАЯ КИСЛОТА
(Zoledronovaya kislota)",zoledronic acid,"Порошок лиофилизированный для приготовления раствора для инфузий 4 мг N1, N40 (флаконы)",Беларусь,"Белмедпрепараты, РУП","Средство, влияющее на минерализацию костей. Бисфосфонат.",М05ВА08,DV/X 03776/11/17,21.11.17 07.08.24,,по рецепту,,
425,"ЗОЛЕРА
(Zolera)",zoledronic acid,Лиофилизат для приготовления раствора для инфузий 4 мг N1 (флаконы),Россия,"Фармасинтез-Норд, АО",Ингибитор костной резорбции,M05BA08,DV/X 10256/11/22,14/11/22,,по рецепту,,
426,"Золмигрен
(Zolmigren)",zolmitriptan,"Таблетки, покрытые пленочной оболочкой 2,5 мг №2 (1x2), №10 (1x10) (блистеры)",Украина,"Фармак, АО",Нервная система. Анальгетики. Селективные агонисты серотониновых 5HT1-рецепторов,N02CC03,DV/X 06199/05/19,16.06.25,,по рецепту,,
