№ п/п,Торговое название и синоним,Международное название,Лекарственная форма выпуска,Страна-производитель,Фирма производитель,Фармакотерапевтическая группа,Код АТХ,№ Регистрационного удостоверения,Дата регистрации и перерегис-трации,Дата изменения к регистрационному удостоверению,Условия отпуска,,,
1504,"КАРТАН®
(KARTAN/СARTAN)",levocarnitine,Раствор для приема внутрь 1г/10 мл 10 мл №10 (2x5) (ампулы),Греция,DEMO S.A. Рharmaceutical Industry,Пишеварительный тракт и обмен веществ. Другие препараты для лечения заболеваний желудочно-кишечного тракта и нарушений обмена веществ. Аминокислоты и их производные. Левокарнитин,А16АА01,DV/X 06597/07/19,23.07.19 19.09.25,,по рецепту,,,
1505,"КАРТАН®
(KARTAN/СARTAN)",levocarnitine,Раствор для инъекций 1 г/5 мл 5 мл №5 (1x5) (ампулы),Греция,DEMO S.A. Рharmaceutical Industry,Пищеварительный тракт и обмен веществ. Другие препараты для лечения заболеваний ЖКТ и нарушения обмена веществ. Аминокислоты и их производные. Левокарнитин,А16АА01,DV/X 06590/07/19,23.07.19 31.10.25,,по рецепту,,,
1831,"ЛЕМОКСОЛ
(LEMOKSOL//LEMOXOL)",сeftazidime,Порошок для приготовления раствора для инъекций 1г (флаконы),Греция,DEMO S.A. Рharmaceutical Industry,Противомикробные препараты системного действия. Другие бета- лактамные антибактериальные препараты. Цефалоспарины третьего поколения. Цефтазидим.,J01DD02,DV/X 06596/07/19,23.07.19 28.11.25,,по рецепту,,,
2622,"ПАРАСТАМИК
(Parastamik)",pantoprazole,Порошок лиофилизированный для приготовления раствора для инъекций 40 мг N1 (флаконы),Греция,Demo S.A. Рharmaceutical Industry,"Препарат для лечения заболеваний, связанных с нарушением кислотности. Противоязвенный препарат и препарат для лечения гастроэзофагеального рефлюкса. Ингибитор протонового насоса. Пантопрозол",A02BC02,DV/X 05302/11/18,02.11.18 20.12.24,,по рецепту,,,
1044,"ДЕНТИДИН
(Dentidin)",ranitidine hydrochloride,"Раствор для инъекций 50 мг/2 мл, 2 мл N25 (ампулы)",Индия,"Den Mark Pharmaceuticals Pvt. Ltd, Индия произведено: Skymap Healthcare Pvt. Ltd",Противоязвенное средство (Н2-блокатор),A02BA02,DV/X 10265/11/22,30/11/22,,по рецепту,,,
1538,"КЕТЕРОКЕМ
(Keterokem)",ketorolac tromethamine,"Раствор для инъекций 30 мг/мл, 1 мл N25 (ампулы)",Индия,"Den Mark Pharmaceuticals Pvt. Ltd, Индия произведено: Skymap Healthcare Pvt. Ltd",Нестероидное противовоспалительное средство,M01AB15,DV/X 10266/11/22,30/11/22,,по рецепту,,,
3399,"ТРАКСАДЕН
(Traksaden)",tranexamic acid,"Раствор для инъекций 500 мг/5 мл, 5 мл N5 (ампулы)",Индия,"Den Mark Pharmaceuticals Pvt. Ltd, Индия произведено: Skymap Healthcare Pvt. Ltd",Гемостатическое средство,B02AA02,DV/X 10264/11/22,30/11/22,,по рецепту,,,
2205,"МОМЕФИН
(Momefin)",Mometasone,"Спрей назальный дозированный 0,5 мг/доза по 120 доз 12 мл N1 (флаконы с дозатором)",Индия,"Deni & Hemi FL- LLC, Объединенные Арабские Эмираты произведено: Biodeal Pharmaceuticals Pvt. Ltd",Кортикостероид (препарат для лечения полости носа),R01AD09,DV/X 05696/02/19,01.02.19 25.07.25,,по рецепту,,,
2323,"НЕРВИО В12®
(Nervio B12)",comb.drug (hydroxоcobalamin; diclofenac; betamethasone),Раствор для инъекций 3 мл N6 (ампулы),Аргентина,Denver Farma S.A.,Нестероидное противовоспалительное средство,M01AB55,DV/X 08792/04/21,09/04/21,,по рецепту,,,
1006,"ДЕДРОГИЛ®
(Dedrogil)",calcifediol monohydrate,"Раствор для перорального применения 1,5 мг/10 мл по 10 мл (флаконы с капельным дозатором)",Италия,"Desma Pharma S.A.R.L., Франция произведено: Laboratorio Farmaceutico SIT Specialita Igienico Terapeutiche S.r.l.",Витамин,A11CC06,DV/X 09383/11/21,05/11/21,,по рецепту,,,
887,"ГЕПАЗ-52
(Gepaz-52)",L-щrnithine; L-aspartate,Концентрат для приготовления раствора для инфузий 5 г/10 мл по 10 мл N5 (ампулы),Индия,Deutsche Labs Inc,Гепатопротектор,A05BA,DV/X 08989/05/21,25/05/21,введены изменения: 29.11.24,по рецепту,,,
3694,"ФОСФОМИЦИН НАТРИЯ
(Fosfomitsin natriy)",fosfomycin sodium,"Порошок для приготовления раствора для инъекций 500 мг, 1 г (флаконы)",Индия,Deutsche Labs Inc,Антибиотик,J01XX01,DV/X 09121/07/21,16/07/21,,по рецепту,,,
2757,"ПУЛМОКАП
(Pulmokap)",comb.drug (levosalbutamol; ambroxol hydrochloride; guaifenesin),Сироп 100 мл N1 (флаконы),Индия,Dev Life Corporation Pvt. Ltd,Муколитическое средство,R05CB10,DV/X 09551/12/21,23/12/21,,по рецепту,,,
3847,"ЦИНКАП™
(Sinkap)",zinc acetate,Сироп 20 мг/5 мл 100 мл (флаконы в комплекте с мерной ложкой),Индия,Dev Life Corporation Pvt. Ltd,"Средство, применяемое для лечения заболеваний ЖКТ и обмена веществ",A16AX05,DV/X 09364/11/21,05/11/21,,без рецепта,,,
1973,"Люкамонт™
(Lyukamont)",montelukast,"Таблетки, покрытые пленочной оболочкой по 10 мг N28 (2х14) (блистеры)",Турция,DEVA HOLDING A. Ş.,Дыхательная система. Препараты для лечения обструктивных заболеваний дыхательных путей. Другие средства системного действия для лечения обструктивных заболеваний дыхательных путей. Блокаторы лейкотриеновых рецепторов. Монтелукаст.,R03DC03,DV/X 00289/04/15,30.04.15 28.11.25,,по рецепту,,,
164,"АДРИМИЗИН
(Adrimizin)",doxorubicin hydrochloride,Порошок лиофилизированный для приготовления инфузий 10 мг и 50 мг N1 (флакон) с растворителем-вода для инъекций по 5 мл N1 (ампулы),Турция,Deva Holding A.Ş.,Противоопухолевое средство,L01DB01,DV/X 01778/06/16,07.06.16 10.09.21,,по рецепту,,,
265,"АЛДЕГИН™
(Аldegin™)",dexketaprofen,"Гель для наружного применения 1,25% 60 г (тубы)",Турция,Deva Holding A.Ş.,Препарат для местного применения при суставной и мышечной боли. Нестероидный противовоспалительный препарат для местного применения,М02АА27,DV/X 03729/11/17,21.11.17 29.11.24,,без рецепта,,,
1005,"ДЕВИТ-3
(Devit-3)",cholecalciferol,Капли для приема внутрь 50000 МЕ/15 мл N1 (бутылки),Турция,Deva Holding A.Ş.,Витамины,A11CC05,DV/X 09637/02/22,14/02/22,,без рецепта,,,
1467,"КАРБОДЕКС
(Karbodeks/Carbodex)",carboplatin,"Концентрат для приготовления раствора для инфузий 50 мг/5 мл, 450 мг/45 мл (флаконы)",Турция,Deva Holding A.Ş.,Другой противоопухолевый препарат. Соединения платины,L01XA02,DV/X 05322/11/18,20.11.18 20.12.24,,по рецепту,,,
1572,"Клавера™ БИД Форте
(Klavera BID Forte)",amoxicillin; clavulanic acid,Порошок для приготовления суспензии для приема внутрь 400/57 мг (флаконы в комплекте с мерной ложкой),Турция,Deva Holding A.Ş.,"Противомикробные препараты системного действия. Антибактериальные препараты системного действия. Комбинации пенициллинов, включая комбинации с ингибиторами бета-лактамаз. Амоксициллин в комбинации с ингибиторами ферментов.",J01CR02,DV/X 05016/09/18,12.09.18 15.10.25,,по рецепту,,,
1573,"Клавера™ БИД
(Klavera BID)",amoxicillin; clavulanic acid,"Порошок для приготовления суспензии для приема внутрь 200/28,5 мг (флаконы в комплекте с мерной ложкой)",Турция,Deva Holding A.Ş.,"Противомикробные препараты системного действия. Антибактериальные препараты системного действия. Комбинации пенициллинов, включая комбинации с ингибиторами бета-лактамаз. Амоксициллин в комбинации с ингибиторами ферментов.",J01CR02,DV/X 05015/09/18,12.09.18 15.10.25,,по рецепту,,,
1574,"КЛАВЕРА™ БИД
(Klavera™ Bid)",comb.drug (amoxicillin trihydrate; diluted potassium clavulanate) [potassium clavulanate; microcrystalline cellulose (1:1)],"Таблетки, покрытые пленочной оболочкой 1000 мг N10 (2х5), N14 (2х7) (блистеры)",Турция,Deva Holding A.Ş.,Антибиотик (гр.пенициллинов),J01CR02,DV/X 03047/06/17,06.06.17 16.08.22,,по рецепту,,,
2009,"МАКСТИО
(MAKSTIO / MAXTHIO)",thiocolchicoside,Раствор для внутримышечного введения 4 мг/ 2 мл 2 мл №6 (1x6) (ампулы),Турция,Deva Holding A.Ş.,Костно-мышечная система. Миорелаксанты. Миорелаксанты центрального действия. Другие миорелаксанты центрального действия. Тиоколхикозид.,M03BX05,DV/X 05863/03/19,12.03.19 31.10.25,,по рецепту,,,
2477,"ОКСАЛПИН
(Oksalpin)",oxaliplatin,"Порошок лиофилизированный для приготовления раствора для инфузий 50 мг, 100 мг N1 (флаконы)",Турция,Deva Holding A.Ş.,Противоопухолевое средство,L01XA03,DV/X 09647/02/22,14/02/22,,по рецепту,,,
2723,"ПРОГАСТ™
(Progast™)",lansoprazole,"Капсулы 30 мг N14 (1x14), N28 (1x28) (флаконы)",Турция,Deva Holding A.Ş.,"Препарат для лечения заболеваний, связанных с нарушением кислотности. Противоязвенный препарат и препарат для лечения гастроэзофагеального рефлюкса. Ингибитор протонового насоса.",А02ВС03,DV/X 03519/09/17,08.09.17 29.11.24,,по рецепту,,,
2801,"РЕДИКЛОН
(Rediklon)",diclofenac sodium,"Капли глазные 0,1% 0,3 мл N20 (флаконы)",Турция,Deva Holding A.Ş.,Нестероидное противовоспалительное средство,S01BC03,DV/X 08896/04/21,23/04/21,введены изменения: 19.04.25,по рецепту,,,
3638,"ФЛУОРО-5 DEVA
(Fluoro-5 Deva)",5-fluorouracil,Концентрат для приготовления раствора для инфузий 1000 мг/20 мл N1 (флаконы),Турция,Deva Holding A.Ş.,Противоопухолевое средство,L01BC02,DV/X 01657/05/16,06.05.16 10.09.21,введены изменения: 15.02.25,по рецепту,,,
3834,"ЦЕФУРО
(SEFURO/CEFURO)",cefuroxime,"Гранулы для приготовления суспензии для приёма внутрь 125 мг/5 мл 50 мл, 100 мл (флаконы в комплекте с мерным cтаканчиком и с мерной ложкой)",Турция,Deva Holding A.Ş.,Противомикробные препараты системного действия. Антибактериальные препараты системного действия. Цефалоспорины второго поколения. Цефуроксим.,J01DC02,DV/X 03518/09/17/1,08.09.17 15.10.25,,по рецепту,,,
4054,"ЭТОПЕКС
(Etopeks)",etoposide,Концентрат для приготовления раствора для инфузий 100 мг/5 мл 5 мл N1 (флаконы),Турция,Deva Holding A.Ş.,Противоопухолевое средство,L01CB01,DV/X 01873/07/16,08.07.16 10.09.21,,по рецепту,,,
264,"АЛДЕГИН™
(Aldegin™)",dexketoprofen,Раствор для внутривенного и внутримышечного введения 50 мг/2 мл 2 мл N6 (1x6) (ампулы),Турция,Deva Holding А.Ş.,Нестероидное противовоспалительное средство,M01AЕ17,DV/X 04093/03/18,07.03.18 28.07.23,,по рецепту,,,
1147,"ДОЛГИТ
(Dolgit)",ibuprofen,"Гель для наружного применения 20 г, 50 г, 100 г (тубы)",Германия,"Dolorgiet GmbH & Co., KG",Противовоспалительное средство местного действия,M02AA13,DV/X 10165/10/22,14/10/22,,без рецепта,,,
3880,"Чемп Ибуфен
(Champ Ibufen)",ibuprofen,Суспензия для приема внутрь 5 мл N10 (саше),Корея,"Dong-A Pharmaceutical Co., Ltd",Противовоспалительные и противоревматические препараты; нестероидные противовоспалительные и противоревматические препараты; производные пропионовой кислоты.,M01AE01,DV/X/TO 11072/09/25,19.09.25,,без рецепта,,,
3881,"Чемп Сироп
(Сhamp Syrup)",paracetamol,Суспензия для приема внутрь 5 мл N10 (саше),Корея,"Dong-A Pharmaceutical Co., Ltd.",Нервная система. Анальгетики. Анилиды. Парацетамол,N02BE01,DV/X/TO 11073/09/25,19.09.25,,без рецепта,,,
1622,"КЛОФАЗИМИН
(Klofazimin/ Clofazimine)",clofazimine,"Капсулы 100 мг, N100 (флаконы)",Корея,"Dong-A ST Co, Ltd",Препарат активный в отношении микобактерий. Противолепрозный препарат,J04BA01,DV/X 10866/03/25,01/03/25,,по рецепту,,,
1248,"ЗИДЕНА®
(Zidena/Zydena)",udenafil,"Таблетки, покрытые пленочной оболочкой 200 мг N2 (1х2) (блистеры)",Корея,"Dong-A ST Co., Ltd","Средство для лечения эректильной дисфункции, ФДЭ-5",G04BE,DV/X 04217/03/18,28.03.18 27.12.24,,по рецепту,,,
1609,"КЛОЗЕРИН®
(Klozerin)",closerin,Капсулы 250 мг N100 (10х10) (блистеры),Корея,"Dong-A ST Co., Ltd",Антибиотик,J04AB01,DV/X 09479/11/21,30/11/21,,по рецепту,,,
1417,"КАБЕРГОЛИН-ОРВИЛЛЕ ТАБ
(Kabergolin- Orville Tab)",cabergoline,"Таблетки 0,5 мг N24 (1x24) (флаконы)",Южная Корея,Dongkoo Bio & Pharma Ltd,Ингибитор лактации,G02CB03,DV/X 04129/03/18,07.03.18 31.01.25,,по рецепту,,,
2055,"Медирэй 350
(Mediray 350)",iohexol,Раствор для инъекций 350 мг 100 мл N10 (флаконы),Корея,"Dongkook Life Science Со., Ltd.",Прочие препараты. Контрастные средства. Водорастворимые нефротропные низкоосмолярные рентгеноконтрастные средства. Йогексол.,V08AB02.,DV/X/TO 11052/08/25,27.08.25,,по рецепту,,,
433,"АРАГАН ПЛЮС
(Aragan Plyus/Aragan Plus)",sodium hyaluronate,"Раствор для внутрисуставных инъекций 20 мг/2,0 мл 2,0 мл N3 (3х1) (предварительно заполненные шприцы)",Корея,"Dongkwang Pharm. Co., Ltd",Стимулятор трофики тканей и регенерации,М09АХ01,DV/X/TO 10526/07/23,14/07/23,,по рецепту,,,
434,"АРАГАН
(Aragan)",sodium hyaluronate,Раствор для внутрисуставных инъекций 25 мг/2.5 мл 2.5 мл N5 (5х1) (предварительно заполненные шприцы),Корея,"Dongkwang Pharm. Co., Ltd",Стимулятор трофики тканей и регенерации,М09АХ01,DV/X/TO 10525/07/23,14/07/23,,по рецепту,,,
900,"ГЕПА-СТИН
(Gepa-stin)",L-ornithine;-L-aspartate*,Концентрат для приготовления раствора для инфузий 5 г/10 мл 10 мл N10 (ампулы),Корея,"Dongkwang Pharm. Co., Ltd, Корея произведено: Dai Han Pharm. Co., Ltd",Гепатопротектор,A05BA,DV/X 00936/10/15,23.10.15 19.11.20,,по рецепту,,,
51,"L-ВИАВА
(L-Viava)",levocarnitine,Раствор для приема внутрь 1 г/10 мл 10 мл N10 (флаконы),Турция,"Dr Sertus Ilac Sanayi ve Ticaret Limited Sirket, Турция произведено: World Medicine Ilac San. ve Tic. A.Ş.",Средство для коррекции метаболических процессов,A16AA01,DV/X 03042/06/17,22.04.20 16.06.22,,по рецепту,,,
147,"АДЕМТА
(Ademta)",ademetionine,Лиофилизат для приготовления раствора для инъекций в комплекте с растворителем 400 мг N5 (флаконы) в комплекте с растворителем 5 мл N5 (ампулы),Турция,"Dr Sertus Ilaç Sanayi ve Ticaret Limited Şirketi, Турция произведено: Mefar İlaç Sanayii A.Ş.",Гепатопротектор,A16AA02,DV/X 03239/07/17,07.07.17 16.08.22,,по рецепту,,,
3941,"ЭЛФУНАТ
(Elfunat)",ethylmethylhydroxypiridine succinate*,"Раствор для внутривенного и внутримышечного введения 50 мг/мл по 2 мл N10, 5 мл N5 (ампулы)",Турция,"Dr Sertus Ilaç Sanayi ve Ticaret Limited Şirketi, Турция произведено: Mefar İlaç Sanayii A.Ş.",Антиоксидантное средство,N07XX,DV/X 03240/07/17,07.07.17 16.08.22,,по рецепту,,,
3024,"СЕРТОФЕН
(Sertofen)",dexketoprofen,"Таблетки, покрытые пленочной оболочкой 25 мг N20 (2x10) (блистеры)",Турция,"Dr Sertus Ilac Sanayi ve Ticaret Limited Sirketi, Турция произведено: World Medicine Ilaс San. ve Tic. A.Ş.",Нестероидное противовоспалительное средство,M01AE17,DV/X 03231/07/17,07.07.17 16.06.22,,по рецепту,,,
1725,"КУСТОДИОЛ®
(Kustodiol)",comb.drug (sodium chloride; potassium chloride; magnesium chloride hexahydrate; calcium chloride dehydrate; histidine; histidine hydrochloride monohydrate; tryptophan; mannitol; alpha-ketoglutaric acid),"Раствор для перфузий 500 мл N10 (флаконы); 1000 мл N6, 2000 мл N4 (пакеты)",Германия,Dr. Franz Köhler Chemie GmbH,Кардиоплегическое средство,B05XA16,DV/X 08879/04/21,23/04/21,,по рецепту,,,
303,"АЛЛЕРВЭЙ® М
(Allervey М)",comb.drug (levocetirizine; montelukast),"Таблетки, покрытые пленочной оболочкой 5 мг+10 мг N10 (1x10), N30 (3x10) (блистеры)",Индия,Dr. Reddy’s Laboratories Limited,Бронхолитическое средство,R03DC53,DV/X 08990/05/21,25/05/21,,по рецепту,,,
2846,"РИВАКСОРЕД®
(Rivaksored)",rivaroxaban,"Таблетки, покрытые пленочной оболочкой 10 мг N10 (1х10), N30 (3х10); 15 мг N14 (1х14), N28 (2х14); 20 мг N14 (1х14), N28 (2х14) (блистеры)",Индия,Dr. Reddy’s Laboratories Limited,Антикоагулянт,B01AF01,DV/X 09443/11/21,30/11/21,,по рецепту,,,
3282,"ТЕЛСАРТАН® А
(Telsartan A)",comb.drug (telmisartan; amlodipine),"Таблетки 40 мг+5 мг, 40 мг+10 мг, 80 мг+5 мг, 80 мг+10 мг N14 (2х7), N28 (4х7) (блистеры)",Индия,Dr. Reddy’s Laboratories Limited,Антигипертензивное средство (блокатор «медленных» кальциевых каналов + ангиотензина II рецепторов антагонист),C09DB04,DV/X 05383/11/18,27.11.18 19.07.24,,по рецепту,,,
1989,"МАЙБОРТЕ
(Mayborte)",bortezomib*,"Лиофилизат для приготовления раствора для внутривенного и подкожного введения 3,5 мг N1 (флаконы)",Индия,Dr. Reddy's Laboratories Ltd,Противоопухолевое средство,L01XX32,DV/X 02811/03/17,24.03.17 29.03.22,,по рецепту,,,
899,"ГЕПАРИН НЕО
(Geparin Neo)",heparin Sodium,Раствор для инъекций 1000 МЕ/мл и 5000 МЕ/мл по 5 мл N1 (флаконы),Индия,"Dr.Health Pharma FZE, ОАЭ произведено Bharat Parenterals Limited",Антикоагулянт,B01AB01,DV/X 10471/06/23,22/06/23,,по рецепту,,,
362,"АМИНОПЛАЗ
(Aminoplaz)",comb.drug (aminoacids)*,Раствор для внутривенной инфузии 250 мл N1 (флаконы),Китай,"Dr.Health Pharma FZE, ОАЭ произведено: Guangdong Litai Pharmaceutical Co. Ltd","Препарат для парентерального питания, аминокислоты",B05BA01,DV/X 10295/11/22,30/11/22,введены изменения: 24.11.23,по рецепту,,,
801,"ВИТАНИМ
(Vitanim)",comb.drug (thiamine hydrochloride; cyanocobalamin; nicotinamide; pyridoxine hydrochloride; dexpanthenol),Раствор для инъекций 2 мл N10 (ампулы),Индия,"Dr.Health Pharma, ОАЭ произведено: Bharat Parenterals Ltd",Витамины,A11EA,DV/X 10041/08/22,02/08/22,,по рецепту,,,
597,"БЛАНЕЛЬ
(Blanel)","comb.drug (citric acid anydrous, potassium citrate, sodium bicarbonate, sodium carbonate anhydrous)",Таблетки шипучие N48 (8х6) (блистеры),Германия,Dr.Pfleger Arzneimittel,Средство для лечения нефроуролитиаза,G04B,DV/X 09185/07/21,16/07/21,,без рецепта,,,
1463,"КАПФУРО®
(Kapfuro)",capecitabine,"Таблетки, покрытые пленочной оболочкой 500 мг N30 (3х10), N60 (6х10), N120 (10х12) (блистеры)",Индия,Dr.Reddy`s Laboratories Ltd,Противоопухолевое средство,L01BC06,DV/X 01963/07/16,22.07.16 15.06.21,,по рецепту,,,
2672,"ПЛАГРИЛ®
(Plagril)",clopidogrel bisulfate,"Таблетки, покрытые плёночной оболочкой 75 мг N10 (1x10), N30 (3x10) (блистеры)",Индия,Dr.Reddy’s Laboratories Ltd,Антиагрегант,B01AC04,DV/X 03464/08/17,04.08.17 28.10.22,,по рецепту,,,
1300,"ИБУКЛИН® БЭБИ
(Ibuklin bebi)",ibuprofen,"Суспензия пероральная 100 мг/5 мл, 5 мл N12 (пакетики)",Испания,"Dr.Reddy’s Laboratories Ltd., Индия Производитель: EDEFARM, S.L., Испания; Выпускающий контроль качества готового продукта: Farmalider, S.A.",Нестероидное противовоспалительное средство,M01AE01,DV/X 09809/04/22,13/04/22,,без рецепта,,,
1301,"ИБУКЛИН® ЛЕДИ
(Ibuklin Ledi)",comb.drug (ibuprofen; drotaverine),"Таблетки, покрытые пленочной оболочкой 200 мг+40 мг, 400 мг+80 мг N10 (1х10) (блистеры)",Индия,Dr.Reddy's Laboratories Limited,Анальгетическое спазмолитическое средство,M01AE51,DV/X 08763/03/21,19/03/21,,без рецепта,,,
2260,"НАЙЗ®
(Nayz)",comb.drug (nimesulide; methylsalicylate; menthol; capsaicin),"Гель для наружного применения 20 г, 50 г (тубы)",Индия,Dr.Reddy's Laboratories Limited,Противовоспалительное средство местного действия,M01AX17,DV/X 09033/06/21,15/06/21,,без рецепта,,,
2504,"ОМЕЗ® ДСР
(Omez® Dsr)",comb drug (domperidone; omeprazole),"Капсулы с модифицированным
высвобождением 20 мг/30 мг N10 (1x10), N30 (3x10) (блистеры)",Индия,Dr.Reddy's Laboratories Limited,"Пищеварительный тракт и обмен веществ, препараты для лечения заболеваний связанных с нарушением кислотности",А02В,DV/X 05357/11/18,30/05/25,,По рецепту,,,
2505,"ОМЕЗ® ИНСТА
(Omez Insta)",omeprazole,"Порошок для приготовления суспензии для приема внутрь 5,9 г N5 (саше-пакеты)",Индия,Dr.Reddy's Laboratories Limited,Противоязвенное средство (ингибитор H+K+ATФазы),А02ВС01,DV/X 02547/01/17,13.01.17 23.12.21,,без рецепта,,,
2506,"ОМЕЗ®
(Omez)",omeprazole,"Капсулы 10 мг N10 (1х10), N30 (3х10) (блистеры)",Индия,Dr.Reddy's Laboratories Limited,Противоязвенное средство (ингибитор H+K+ATФазы),A02BC01,DV/X 04176/03/18,23.03.18 22.06.23,,без рецепта,,,
2508,"ОМЕЗ®
(Omez®)",omeprazole,"Капсулы кишечнорастворимые 40 мг N28 (4х7), N30 (3x10) (блистеры)",Индия,Dr.Reddy's Laboratories Limited,Противоязвенное средство (ингибитор Н+К+АТФазы),A02BC01,DV/X 08509/12/20,29/12/20,введены изменения: 13.05.22,по рецепту,,,
2637,"ПЕМДЖЕМ
(Pemjem)",pemetrexed disodium,"Лиофилизат для приготовления раствора для инфузий 100 мг, 500 мг N1 (флаконы)",Индия,Dr.Reddy's Laboratories Limited,Противоопухолевое средство,L01BA04,DV/X 02999/05/17,19.05.17 29.06.22,,по рецепту,,,
3283,"ТЕЛСАРТАН® Н
(Telsartan H)",comb.drug (telmisartan; hydrochlorothiazide*),"Таблетки 40 мг+12,5 мг, 80 мг+12,5 мг N14 (2х7), N28 (4х7) (блистеры)",Индия,Dr.Reddy's Laboratories Limited,Антигипертензивное средство,C09DA07,DV/X 01193/12/15,25.12.15 19.11.20,,по рецепту,,,
2263,"НАЙЗ®/NISE
(Nayz®)",nimesulide,Спрей для наружного применения 1% 35 г (флаконы с распылительным устройством),Индия,"Dr.Reddy's Laboratories Limited, Индия произведено: Encube Ethicals Private Limited",Нестероидное противовоспалительное средство,M02AA26,DV/X 09197/08/21,04/08/21,,без рецепта,,,
2194,"МОМАТ А
(Momat A)",comb.drug (mometasone; azelastine),"Спрей назальный дозированный 50 мкг+140 мкг/доза по 75 доз, 150 доз 15 мл N1 (флаконы с дозатором)",Индия,"Dr.Reddy's Laboratories Limited, Индия произведено: Glenmark Pharmaceuticals Ltd",Глюкокортикоид,R01AD,DV/X 02472/12/16,02.12.16 30.11.21,введены изменения: 21.12.22,по рецепту,,,
784,"ВИНДУЗА
(Vinduza)",azacitidine,Лиофилизат для приготовления раствора для внутривенного и суспензии для подкожного введения 100 мг N1 (флаконы),Индия,Dr.Reddy's Laboratories Ltd,Противоопухолевое средство,L01BC07,DV/X 02915/04/17,21.04.17 19.07.22,,по рецепту,,,
1302,"ИБУКЛИН® ЭКСПРЕСС
(Ibuklin® Ekspress)",comb.drug (ibuprofen; paracetamol),"Порошок для приготовления раствора для приема внутрь 400 мг+325 мг 5 г N6, N15 (саше)",Индия,Dr.Reddy's Laboratories Ltd,Анальгетик-антипиретик,M01AE51,DV/X 10445/06/23,08/06/23,,без рецепта,,,
1303,"ИБУКЛИН®
(IBUKLIN®)",ibuprofen; paracetamol,"Таблетки, покрытые пленочной оболочкой №20 (2x10) (блистеры)",Индия,Dr.Reddy's Laboratories Ltd,Костно-мышечная система. Противовоспалительные и противоревматические препараты. Нестероидные противовоспалительные и противоревматические препараты. Производные пропионовой кислоты. Ибупрофен в комбинации со средствами,M01AE51,DV/X 00201/03/15,27.03.15 28.11.25,,по рецепту,,,
1551,"КЕТОРОЛ®
(KETOROL®)",ketorolac,Гель 2 % 30 г (тубы),Индия,Dr.Reddy's Laboratories Ltd,Костно-мышечная система. Противовоспалительные и противоревматические препараты. Нестероидные противовоспалительные и противоревматические препараты. Производные уксусной кислоты и родственные соединения. Кеторолак.,M01AB15,DV/X 05405/11/18,27.11.18 31.10.25,,без рецепта,,,
2555,"ОСЕТРОН®
(Osetron®)",ondansetron,"Раствор для внутривенного и внутримышечного введения 2 мг/мл 2 мл, 4 мл N5 (1x5) (ампулы)",Индия,Dr.Reddy's Laboratories Ltd,Противорвотное средство - серотониновых рецепторов антагонист,А04АА01,DV/X 05721/02/19,01.02.19 19.04.25,,по рецепту,,,
3857,"ЦИПРОЛЕТ® А
(Siprolet A)",comb.drug (ciprofloxacin; tinidazole),"Таблетки, покрытые плёночной оболочкой 500 мг/600 мг N10 (1x10) (блистеры)",Индия,Dr.Reddy's Laboratories Ltd,Антибактериальное синтетическое средство (гр.фторхинолонов),J01RA11,DV/X 03621/09/17,22.09.17 14.10.22,,по рецепту,,,
3956,"ЭНАМ®
(Enam)",enalapril,"Таблетки 2,5 мг N20 (2x10), N30 (3х10) (блистеры) 5 мг, 10 мг N20 (2x10), N30 (3х10), N100 (10х10) (блистеры)",Индия,Dr.Reddy's Laboratories Ltd,Антигипертензивное средство (ингибитор АПФ),С09АА02,DV/X 01820/06/16,07.06.16 15.06.21,введены изменения: 14.10.22,по рецепту,,,
2261,"НАЙЗ®
(Nayz)",nimesulide,Таблетки 100 мг N20 (2x10) (блистеры),Индия,"Dr.Reddy's Laboratories Ltd, Индия произведено: Dr.Reddy's Laboratories Ltd, Formulation Tech Ops-II",Нестероидное противовоспалительное средство,М01АХ17,DV/X 03097/06/17/1,06.06.17 30.11.22,,по рецепту,,,
2262,"НАЙЗ®
(Nayz)",nimesulide,Таблетки 100 мг N20 (2x10) (блистеры),Индия,"Dr.Reddy's Laboratories Ltd, Индия произведено: Dr.Reddy's Laboratories Ltd, Formulations Unit – 6",Нестероидное противовоспалительное средство,М01АХ17,DV/X 03097/06/17,06.06.17 30.11.22,,по рецепту,,,
2190,"МОЛНУПИРАВИР
(Molnupiravir)",molnupiravir,Капсулы 200 мг N40 (4х10) (блистеры),Индия,Dr.Reddy's Laboratories Ltd.,Иммуномодулятор. Противовирусное средство,J05AX,DV/X 10566/08/23,28/08/23,,по рецепту,,,
2195,"МОМАТ® РИНО
(Momat® Rino)",mometasone,"Спрей назальный дозированный 50 мкг/доза по 60 доз, 120 доз N1 (флаконы с дозатором)",Индия,"Dr.Reddy's Laboratories Ltd., Индия произведено: Glenmark Pharmaceuticals Ltd",Глюкокортикоид,R01AD09,DV/X 02473/12/16,02.12.16 30.11.21,введены изменения: 18.11.24,по рецепту,,,
2507,"ОМЕЗ®
(Omez®)",omeprazole,Порошок лиофилизированный для приготовления раствора для инъекций 40 мг (флаконы),Индия,"Dr.Reddy's Laboratories Ltd., Индия произведено: Naprod Life Sciences Pvt. Ltd",Противоязвенное средство (ингибитор H+K+ATФазы),А02ВС01,DV/X 03290/07/17,07.07.17 14.10.22,введены изменения: 18.11.24,по рецепту,,,
