№ п.п,Торговое название и синоним,Международное название,Лекарственная форма выпуска,Страна-производитель,Фирма производитель,Фармакотерапевтическая группа,Код АТХ,№ Регистрационного удостоверения,Дата регистрации и перерегис-трации,Дата изменения к регистрационному удостоверению,Условия отпуска
329,"АСКОРБИНОВАЯ КИСЛОТА LIK
(Askorbin kislotasi LIK)",ascorbic acid*,Раствор для инъекций 5% 2 мл N5 (1х5) (ампулы),Узбекистан,"Lekinterkaps, OOO","Витамин. Аскорбиновая кислота (витамин С), включая комбинации со средствами. Аскорбиновая кислота (витамин С). Аскорбиновая кислота",A11GA01,DV/M 04850/03/25,01/03/25,,по рецепту
330,"АСКОРБИНОВАЯ КИСЛОТА
(Acidum Ascorbinicum)",ascorbic acid*,"Раствор для инъекций 5% 2 мл N5, N5 (1х5), N10, N10 (2х5; 1х10), N20 (4х5), (2x10), N25 (5x5), N50 (10х5), (5x10) (ампулы)",Узбекистан,"Bayan Medical, OOO",Витамин,A11GA01,DV/M 03918/10/21,11/10/21,введены изменения: 08.02.24,по рецепту
331,"АСКОРБИНОВАЯ КИСЛОТА
(Acidum Ascorbinicum)",ascorbic acid*,"Раствор для инъекций 5% 2 мл N5 (1х5), N10 (2х5) (стеклянные ампулы)",Узбекистан,"Jurabek Laboratories, СП ООО",Витамин,А11GA01,DV/M 02345/11/18,20.11.18 13.05.24,,по рецепту
332,"АСКОРБИНОВАЯ КИСЛОТА
(Acidum Ascorbinicum)",ascorbic acid*,"Раствор для инъекций 5% 2 мл, 5 мл N5, N10 (ампулы)",Узбекистан,"Omonmedfarm, OOO",Витамин,A11GA01,DV/M 04330/12/22,02/12/22,,по рецепту
333,"АСКОРБИНОВАЯ КИСЛОТА
(Acidum Ascorbinicum)",ascorbic acid*,"Раствор для инъекций 5% 1 мл, 2 мл, 5 мл N5, N5 (1x5), N10, N10 (2x5; 1x10) (ампулы)",Узбекистан,"Radiks, OOO",Витамин,A11GA01,DV/M 01660/07/17,07.07.17 19.07.22,,по рецепту
334,"АСКОРБИНОВАЯ КИСЛОТА
(Acidum Ascorbinicum)",ascorbic acid*,"Раствор для инъекций 50 мг/мл 2 мл, 5 мл N5, N10, N20, N40 (ампулы)",Узбекистан,"Reka Med Farm, CП ООО",Витамин,A11GA01,DV/M 03961/11/21,05/11/21,,по рецепту
335,"АСКОРБИНОВАЯ КИСЛОТА
(Acidum Ascorbinicum)",ascorbic acid*,"Раствор для инъекций 5% 2 мл N5 (1x5), N10 (2x5), N25 (5х5) (ампулы)",Узбекистан,"Uzgermed Pharm, СП ООО",Витамин,A11GA01,DV/M 02369/12/18,07.12.18 13.05.24,,по рецепту
336,"АСКОРБИНОВАЯ КИСЛОТА
(Askorbin Kislotasi)",ascorbic acid*,"Раствор для инъекций 5% 2 мл N5 (1x5), N10 (2x5) (ампулы)",Узбекистан,"Dentafill Plyus, ООО","Препарат, влияющий на пищеварительный тракт и обмен веществ. Витамин. Аскорбиновая кислота, включая комбинации с другими препаратами. Аскорбиновая кислота в чистом виде",А11GA01,DV/M 00329/09/15,28.09.15 28.03.25,,по рецепту
337,"АСКОРБИНОВАЯ КИСЛОТА
(Askorbin kislotasi)",ascorbic acid,"Раствор для инъекций 5% 2 мл, 5 мл №5, №5 (1x5) (ампулы cтеклянные)",Узбекистан,"Mediofarm, ООО",Пищеварительный тракт и обмен веществ. Витамины. Аскорбиновая кислота (витамин С),A11GA01,DV/M 05089/08/25,13.08.25,,по рецепту
338,"АСКОРБИНОВАЯ КИСЛОТА
(Askorbin kislotasi)",ascorbic acid,Раствор для инъекций 5% 2 мл №5 (1x5); №10 (2x5) (ампулы cтеклянные),Узбекистан,"Zamin Bio Health, ООО","Пищеварительный тракт и обмен веществ. Витамины. Аскорбиновая кислота (витамин c), включая комбинации со средствами. Аскорбиновая кислота (витамин с).",А11GA01,DV/M 05031/07/25,16.07.25,,по рецепту
339,"АСКОРУТИН SD
(Askorutin SD)",ascorbic acid; rutoside,"Таблетки №10 (1х10), №20 (2х10), №30 (3х10), №60 (6х10), №100 (10х10) (упаковки контурные ячейковые)",Узбекистан,"Sharq Darmon, OOO","Ангиопротекторы, Препараты, снижающие проницаемость капилляров",С05СА51,DV/M 05229/09/25,19.09.25,,без рецепта
340,"АСКОРУТИН SMP
(Askorutin SMP)",comb.drug (ascorbic acid; rutin)*,"Таблетки N10, N50 (5х10), N100 (10х10) (блистеры); N10, N100 (10х10) (упаковки контурные безъячейковые)",Узбекистан,"Sulton Medpharm, ООО",Сердечно-сосудистая система. Ангиопротектор. Биофлавоноид,C05CA51,DV/M 04910/04/25,05/04/25,,без рецепта
341,"АСКОРУТИН
(Ascorutinum)",comb.drug (ascorbic acid; rutin)*,"Таблетки N10 (упаковки контурные безъячейковые); N10 (упаковки контурные ячейковые); N30, N40, N50, N100 (банки)",Узбекистан,"O'zkimyofarm, AO им. С.К. Исламбекова",Витамины,C05CA51,DV/M 00739/04/16,01.04.16 23.04.21,,без рецепта
342,"АСКОРУТИН
(Ascorutinum)",comb.drug (ascorbic acid; rutin),"Таблетки N20, N30, N40, N50 (флаконы); N10, N10 (1х10), N20 (2х10), N30 (3х10), N50 (5х10), N100 (10х10) (упаковки контурные ячейковые)",Узбекистан,"Ziyo Nur Farm, ЧП",Витамины,С05СА51,DV/M 03983/11/21,30/11/21,введены изменения: 18.05.23,без рецепта
343,"АСКОРУТИН
(Askorutin)",comb.drug (ascorbic acid; rutin)*,Таблетки N10 (упаковки контурныe ячейковые),Узбекистан,"Herbal Pharma, ООО",Витамины,C05CA51,DV/M 00938/08/16,05.08.16 10.09.21,,без рецепта
344,"АСКОРУТИН
(Askorutin)",comb.drug (ascorbic acid; rutin)*,"Таблетки N50 (5х10) (упаковки контурные ячейковые), N50 (флаконы, банки)",Узбекистан,"Jayxun Invest, ООО",Витамины,C05CA51,DV/M 04016/12/21,23/12/21,,без рецепта
345,"АСКОРУТИН
(Askorutin)",comb.drug (ascorbic acid; rutin)*,"Таблетки N6, N10 (упаковки контурные безъячейковые); N10, N10 (1х10), N20 (2х10), N30 (3х10), N50 (5х10), N100 (10х10) (упаковки контурные ячейковые); N30, N40, N50, N100 (банки, флаконы)",Узбекистан,"Lafz, ООО",Витамины,C05CA51,DV/M 01221/12/16,20.12.16 14.02.22,введены изменения: 30.11.22,без рецепта
346,"АСКОРУТИН
(Askorutin)",ascorbic acid; rutoside,"Таблетки №10 (1x10), №50 (5x10), №100 (10x10) (упаковки контурные ячейковые)",Узбекистан,"Navbahor Sanoat, OOO","Препараты для лечения заболеваний сердечно-сосудистой системы. Ангиопротекторы. Препараты, снижающие проницаемость капилляров. Биофлавоноиды. Рутозид в комбинации с другими препаратами",C05CA51,DV/M 05085/08/25,13.08.25,,без рецепта
347,"АСКОРУТИН
(Askorutin)",comb.drug (ascorbic acid; rutin)*,"Таблетки N10 (упаковки контурные безъячейковые); N10, N30 (3х10), N50 (5х10) (упаковки контурные ячейковые)",Узбекистан,"Radiks, OOO",Витамины,C05CA51,DV/M 01663/07/17,07.07.17 19.07.22,,без рецепта
348,"АСКОРУТИН
(Askorutin)",comb.drug (ascorbic acid; rutin)*,"Таблетки N10, N100 (10x10) (упаковки контурные безъячейковые)",Узбекистан,"Zunnur Servis Farm, OOO",Рутозид в комбинации со средствами.,C05CA51,DV/M 02424/02/19,01.02.19 30.05.25,,без рецепта
349,"АСКОФЕР
(ASKOFER)",,"Капсулы №10 (1x10), №20 (2х10), №30 (3х10) (упаковки контурные ячейковые)",Узбекистан,"Remedy Group, СП ООО",Кровь и система кроветворения. Антианемические препараты. Препараты железа. Пероральные препараты двухвалентного железа.,В03АА,DV/M 05011/07/25,16.07.25,,по рецепту
350,"АСКОФЕР
(Askofer)",iron III hydroxide polymaltoze,"Раствор для инъекций 100 мг/2 мл, 2 мл N3 (1х3), N5 (1х5) (ампулы)",Узбекистан,"Remedy Group, СП ООО для Citco Chemicals Ltd, Великобритания","Средство, стимулирующее эритропоэз",B03AC04,DV/M 01699/08/17,04.08.17 30.09.22,введены изменения: 30.11.22,по рецепту
351,"АСПАРКАМ
(Asparcamum)",comb.drug (potassium; magnesium aspartate)*,"Таблетки N6, N10 (упаковки контурные безъячейковые); N10, N20 (2х10), N30 (3х10), N50 (5х10) (упаковки контурные ячейковые)",Узбекистан,"Radiks, OOO",Минеральный препарат,A12CX,DV/M 01506/05/17,05.05.17 19.07.22,,без рецепта
352,"АСПАРКАМ
(Asparcamum)",comb.drug (potassium; magnesium aspartate)*,"Таблетки N10, N10 (1х10), N20 (2х10), N30 (3х10), N50 (5х10) (упаковки контурные ячейковые)",Узбекистан,"Samo, OOO",Минеральный препарат,A12CX,DV/M 00671/03/16,04.03.16 19.03.21,,без рецепта
353,"АСПАРОЛ
(Asparol)",aspartic acid; potassium hydroxide*; magnesium oxide*,"Раствор для инфузий 100 мл, 250 мл (флаконы полипропиленовые)",Узбекистан,"Jurabek Laboratories, СП ООО",Пищеварительный тракт и метаболизм. Минеральный добавк. Прочие минеральные добавки,А12СХ,DV/M 02919/12/19,13.12.19 30.04.25,введены изменения: 19.09.25,по рецепту
354,"АСТАНОЛ
(Astanol)",montelukast,"Таблетки жевательные 5 мг №10 (1x10), №20 (2х10) (упаковки контурные ячейковые)",Узбекистан,"Remedy Group, СП ООО",Другие средства системного действия для лечения обструктивных заболеваний дыхательных путей. Блокаторы лейкотриеновых рецепторов. Монтелукаст.,R03DC03,DV/M 05006/07/25,16.07.25,,по рецепту
355,"АСТЕЛЛА
(Astella)",fosfructose,"Порошок для приготовления раствора для инфузий 5 г, 10 г N1 (флаконы стеклянные) в комплекте с растворителем-вода для инъекции 50 мл, 100 мл N1 (флаконы стеклянные)",Узбекистан,"Uzgermed Pharm, СП ООО",Средство для коррекции метаболических процессов,C01EB07,DV/M 04163/06/22,29/06/22,введены изменения: 25.07.25,по рецепту
356,"АСЦЕИН, АСЦЕИН ФОРТЕ
(Assein, Assein Forte)",acetylcysteinе,"Порошок для приготовления раствора для приема внутрь 200 мг, 600 мг, 3 г N10 (1х10), N20 (2х10) (пакеты)",Узбекистан,"ATM Pharm, ООО",Отхаркивающее средство,R05CB01,DV/M 00881/07/16,08.07.16 18.08.21,,без рецепта
357,"АТЕНОЛОЛ
(Atenolol)",atenolol,"Таблетки 100 мг N10 (1х10), N20 (2х10), N50 (5х10) (блистеры)",Узбекистан,"Gufic Avicenna, СП OOO",Антигипертензивное средство (бета-адреноблокатор),С07АВ03,DV/M 00637/02/16,05.02.16 09.04.21,,по рецепту
358,АТЕФАРИН (Atefarin),arginine; levocarnitine,Раствор для инфузий 20 мг/мл + 42 мг/мл 100 мл (флаконы полипропиленовые),Узбекистан,"Samarkand England Eco-Medical, СП ООО",Кровь и система кроветворения. Кровезаменитель и перфузионный раствор. Добавка к растворам для внутривенного введения. Аминокислоты,B05XB,DV/M 04917/04/25,19/04/25,введены изменения: 19.09.25,по рецепту
359,"АТЕФАРИН
(Atefarin)",arginine; levocarnitine,Pаствор для инфузий 100 мл (флаконы полипропиленовые),Узбекистан,"Samarkand England Eco-Medical, СП ООО",Кровь и система кроветворения.. Кровезаменители и перфузионные растворы. Добавки к внутривенным растворам. Аминокислоты,B05XB,DV/M 05322/11/25,28.11.25,,по рецепту
360,"АТОКСА
(ATOKSA/ATOXA)",tenoxicam,"Лиофилизат для приготовления раствора для внутривенного и внутримышечного введения 20 мг N1, N3, N5 (флаконы стеклянные) в комплекте с растворителем - вода для инъекций 2 мл N1, N3, N5 (ампулы стеклянные)",Узбекистан,"ALLIANCE CZECHFARM s.r.o., Чешская Республика произведено: Zuma Pharma, ООО",Противовоспалительные и противоревматические препараты. Нестероидные противовоспалительные и противоревматические препараты. Оксикамы. Теноксикам,M01AC02,DV/M 05025/07/25,16.07.25,введены изменения: 28.11.25,по рецепту
361,"АТОН ФОРТЕ
(Aton Forte)",levofloxacin,Раствор для инфузий 750 мг/200 мл 200 мл (флаконы),Узбекистан,"Remedy Group, СП ООО для Citco Chemicals Ltd, Великобритания",Антибактериальное синтетическое средство (гр.фторхинолонов),J01MA12,DV/M 03892/09/21,10/09/21,,по рецепту
362,"АТОН® НЕО
(Aton® Neo)",levofloxacin,"Раствор для инфузий 500 мг/100 мл 100 мл (флаконы стеклянные, флаконы ПЭТ), 1000 мг/200 мл 200 мл (флаконы стеклянные)",Узбекистан,"Remedy Group, СП ООО",Противомикробный препарат системного действия. Антибактериальный препарат системного действия. Антибактериальный препарат производное хинолона. Фторхинолон. Левофлоксацин,J01MA12,DV/M 04829/03/25,01/03/25,,по рецепту
363,"АТОРВАСТАТИН
(Atorvastatin)",atorvastatin,"Таблетки, покрытые пленочной оболочкой 10 мг, 20 мг N10, N10 (1x10), N20 (2x10), N30 (3x10) (упаковки контурные ячейковые)",Узбекистан,"Radiks, OOO (упковщик.) производитель ""in bulk:"" Fourrts (India) Laboratories Pvt. Limited, Индия",Гиполипидемическое средство,С10АА05,DV/M 03647/11/20,19/11/20,,по рецепту
364,"АТРЕКСАЛЬМИН
(ATREKSALMIN)",tranexamic acid,"Раствор для инъекций 500 мг/5мл 5 мл №5 (1x5), №10 (2x5) (ампулы)",Узбекистан,"Aseptica, OOO",Кровь и система кроветворения. Гемостатическое средство. Антифибринолитическое средство. Аминокислота. Транексамовая кислота,B02AA02,DV/M 04875/03/25,07.03.25,введены изменения: 30.09.25,по рецепту
365,"АТРОМБО
(ATROMBO)",аcetylsalicylic acid*,"Таблетки 75 мг, 100 мг, 150 мг №100 (10x10) (блистеры)",Узбекистан,"Samarkand England Eco-Medical, СП ООО","Кровь и система кроветворения, Антитромботические средства, Антиагреганты кроме гепарина, Ацетилсалициловая кислота",B01AC06,DV/M 05262/09/25,30.09.25,,без рецепта
366,"АТРОПИН СУЛЬФАТ
(Atropin Sulfat)",atropine sulfate*,Капли глазные 1% 5 мл (флакон-капельницы),Узбекистан,"Jurabek Laboratories, СП ООО","Органы чувств. Препараты, применяемые в офтальмологии. Антихолинергические средства. Атропин",S01FA01,DV/M 03237/06/20,12.06.20 13.08.25,,по рецепту
367,"АТРОПИНА СУЛЬФАТ
(Atropin Sulfati)",atropine sulfate,"Раствор для инъекций 0,1% 1 мл N10 (1x10), N50 (5x10) (ампулы полиэтиленовые)",Узбекистан,"Jurabek Laboratories, СП ООО","Пищеварительный тракт и обмен веществ. Препарат для лечения функциональных расстройств желудочно-кишечного тракта. Белладонна и ее производный. Алкалоид белладонны, третичный амин",A03BA,DV/M 02689/08/19,13.08.19 28.03.25,,по рецепту
368,"АУРЕНТИС
(Aurentis)",levocarnitine,"Раствор для инъекций 1000 мг/5 мл N5 (1х5), N10 (2х5), N10 (1х10) (ампулы)",Узбекистан,"Bayan Medical, ООО",Другой препарат для лечения заболеваний желудочно-кишечного тракта и нарушений обмена веществ. Аминокислота и его производное. Левокарнитин,A16AA01,DV/M 04872/03/25,07/03/25,введены изменения: 19.09.25,по рецепту
369,"АУРОКЕТ
(AUROKET)",ketorolac,"Раствор для инъекций 30 мг/2 мл 2 мл №3 (1x3), №6 (2х3), №5 (1x5), №10 (2х5) (ампулы)",Узбекистан,"Aseptica, OOO",Нестероидное противовоспалительное средство,M01AB15,DV/M 04560/08/23,28.08.23,введены изменения: 30.09.25,по рецепту
370,"АФЕРОЛ
(Aferol)",ferri fumaras,"Таблетки, покрытые оболочкой N20, N50, N100 (банки, флаконы)",Узбекистан,"Samo, OOO",Антианемическое средство,B03AA02,DV/M 04226/08/22,30/08/22,,по рецепту
371,"АФИЛ 2,5; АФИЛ 5; АФИЛ 10; АФИЛ 20
(Afil 2,5; Afil 5; Afil 10; Afil 20)",tadalafil,"Таблетки, покрытые оболочкой 2,5 мг N8 (2х4); 5 мг N28 (2х14); 10 мг N4 (1х4); N12 (3х4); 20 мг N2 (2х1); N4 (1х4); N12 (3х4) (упаковки контурные ячейковые)",Узбекистан,"Nobel Pharmsanoat, ИП OOO",Средство для коррекции потенции,G04BE08,DV/M 01194/12/16,02.12.16 23.12.21,введены изменения: 21.12.22,по рецепту
372,"АФИМАРЕКС
(Afimareks)",anastrozole,"Таблетки, покрытые оболочкой 1 мг N10 (1х10), N14 (2х7), N20 (2х10), N28 (4х7), N30 (3x10), N50 (5х10), N56 (8х7), N60 (6х10), N84 (12х7), N90 (9x10), N98 (14х7), N100 (10х10) (упаковки контурные ячейковые)",Узбекистан,"Codepharm, ООО, ИП",Противоопухолевое средство,L02BG03,DV/M 03758/03/21,19/03/21,,по рецепту
373,"АФЛЮКОЛД
(Aflyukold)",comb.drug (paracetamole; fenile frine gidroxloride; feniramine maleate; ascorbic acid),"Порошок для приготовления раствора с фруктовым вкусом 22 г N5, N10, N20 (саше пакеты)",Узбекистан,"As-Kam Pharma, OOO",Средство для устранения симптомов ОРЗ,N02BE51,DV/M 04090/04/22,27/04/22,,без рецепта
374,"АХОЛИОН
(Axolion)",chondroitin sulfate*,Раствор для внутримышечного введения 200 мг/2 мл 2 мл №10 (2х5) (ампулы cтеклянные),Узбекистан,"Rompharm NS, СП ООО",Костно-мышечная система. Противовоспалительные и противоревматические препараты. Нестероидные противовоспалительные и противоревматические препараты. Другие нестероидные противовоспалительные и противоревматические препараты. Хондроитина сульфат,М01АХ25,DV/M 05357/11/25,28.11.25,,по рецепту
375,"АЦЕКАРД®
(Atsekard®)",acetylsalicylic acid*,"Таблетки, покрытые кишечнорастворимой оболочкой 50 мг, 100 мг, 300 мг N20 (2x10), N30 (3x10) (упаковки контурные ячейковые)",Узбекистан,"Nika Pharm, ООО",Антикоагулянт. Ингибитор агрегации тромбоцитов (исключая гепарин),В01АС06,DV/M 02601/06/19,14.06.19 20.12.24,,без рецепта
376,"АЦЕКАРД®
(Atsekard®)",acetylsalicylic acid*,"Таблетки, покрытые кишечнорастворимой оболочкой 75 мг, 150 мг №30 (3x10) (упаковки контурные ячейковые)",Узбекистан,"Nika Pharm, ООО",Кровь и система кроветворения. Антитромботические средства. Антиагреганты кроме гепарина. Ацетилсалициловая кислота,В01АС06,DV/M 05087/08/25,13.08.25,,без рецепта
377,"АЦЕЛИУМ
(Atselium)",,"Раствор для инфузий 100 мл, 250 мл (флаконы)",Узбекистан,"Samarkand England Eco-Medical, СП ООО",Кровь и система кроветворения. Кровезаменитель и перфузионный раствор. Добавка к растворам для внутривенного введения. Раствор электролита. Электролитный раствор в комбинации,B05XA30,DV/M 04861/03/25,07/03/25,введены изменения: 16.06.25,по рецепту
378,"АЦЕСОЛЬ
(Atsesol)",comb.drug (sodium acetate; sodium chloride; potassium chloride),"Раствор для инфузий 100 мл, 200 мл, 250 мл, 400 мл, 500 мл (бутылки, флаконы)",Узбекистан,"Dentafill Plyus, ООО","Раствор, влияющий на водно-электролитный баланс",В05ВВ,DV/M 04074/04/22,13/04/22,,по рецепту
379,"АЦЕСОЛЬ
(Atsesol)",sodium acetate*; sodium chloride*; potassium chloride*,Раствор для инфузий 200 мл (флаконы полипропиленовые),Узбекистан,"Radiks, OOO","Кровезаменители и перфузионные растворы. Растворы для внутривенного введения. Растворы, влияющие на водно-электролитный баланс",В05ВВ,DV/M 05081/08/25,13.08.25,,по рецепту
380,"АЦЕСОЛЬ
(Atsesol)",comb.drug (sodium acetic; sodium chloride; potassium chloride),"Раствор для инфузий 100 мл, 250 мл, 500 мл (флаконы)",Узбекистан,"River Med Pharm, OOO",Солевой раствор,В05ВВ,DV/M 04418/05/23,05/05/23,,по рецепту
381,"АЦЕСОЛЬ
(Atsesol)",comb.drug (sodium acetic; sodium chloride; potassium chloride),"Раствор для инфузий 100 мл, 200 мл, 250 мл, 400 мл, 500 мл (бутылки, флаконы стеклянные)",Узбекистан,"Temur Med Farm, OOO",Солевой раствор,B05BB,DV/M 01826/09/17,22.09.17 30.09.22,,по рецепту
382,"АЦЕСОЛЬ-JURABEK
(Acesol-Jurabek)",comb.drug (sodium acetic; sodium chloride; potassium chloride),"Раствор для инфузий 250 мл, 400 мл (флаконы)",Узбекистан,"Jurabek Laboratories, СП ООО",Солевой раствор,В05ВВ,DV/M 00457/11/15,27.11.15 19.11.20,,по рецепту
383,"АЦЕСОЛЬ-SEEM
(Atsesol-SEEM)",comb.drug (sodium acetic; sodium chloride; potassium chloride),Раствор для инфузий 250 мл (флаконы),Узбекистан,"Samarkand England Eco-Medical, СП ООО",Солевой раствор,B05BB,DV/M 01095/10/16,21.10.16 10.09.21,,по рецепту
384,"АЦЕТИЛСАЛИЦИЛОВАЯ КИСЛОТА
(Acidum Acetylsalicylicum)",acetylsalicylic acid*,"Таблетки 0,5 г N10, N10 (1х10); N 20 (2х10); N30 (3х10), N50 (5х10), N100 (10х10), N200 (20х10), (упаковки контурные ячейковые), N20, N50, N100, N200 (флаконы)",Узбекистан,"Samo, ООО",Нестероидное противовоспалительное средство,N02BA01,DV/M 01894/11/17,21.11.17 21.12.22,,без рецепта
385,"АЦЕТИЛСАЛИЦИЛОВАЯ КИСЛОТА
(Acidum Acetylsalicylicum)",acetylsalicylic acid*,"Таблетки 0,5 г, N10 (1х10), N20 (2х10), N30 (3х10), N50 (5х10), N100 (10х10) (упаковки контурные ячейковые)",Узбекистан,"Ziyo Nur Farm, ЧП",Нестероидное противовоспалительное средство,N02BA01,DV/M 04424/05/23,05/05/23,,без рецепта
386,"АЦЕТИЛСАЛИЦИЛОВАЯ КИСЛОТА
(Atsetilsalitsil Kislota)",acetylsalicylic acid*,"Таблетки 500 мг N10 (упаковки контурные безъячейковые), N10, N10 (1х10), N20 (2х10), N30 (3х10), N40 (4х10), N50 (5х10), N100 (10х10) (упаковки контурные ячейковые)",Узбекистан,"Remedy, CП ООО Узбекско-Британское",Нестероидное противовоспалительное средство,N02BA01,DV/M 01797/09/17,08.09.17 20.09.22,,без рецепта
387,"Ацетилсалициловая кислота
(Atsetilsalitsil kislotasi)",acetysalicylic acid,"Таблетки 0,25 г, 0,5 г №10, №50 (5х10), №100 (10x10) (упаковки контурные безъячейковые); №10, №50 (5х10), №100 (10х10) (упаковки контурные ячейковые)",Узбекистан,"Sulton Medpharm, OOO",Нестероидное противоспалительное средство,N02BA01,DV/M 04671/07/24,19/07/24,,без рецепта
388,"Ацетилсалициловая кислота
(Atsetilsalitsil kislotasi)",acetysalicylic acid,"Таблетки 0,25 г, 0,5 г №10, №50 (5х10), №100 (10x10) (упаковки контурные безъячейковые); №10, №50 (5х10), №100 (10х10) (упаковки контурные ячейковые)",Узбекистан,"Sulton Medpharm, OOO",Нестероидное противоспалительное средство,N02BA01,DV/M 04671/07/24,19/07/24,,без рецепта
389,"АЦЕТИЛЦИСТЕИН
(Atsetilsistein)",acetylcysteine,"Раствор для инъекций 300 мг/3 мл 3 мл N5, N5 (1х5), N10, N10 (2х5;1х10) (ампулы)",Узбекистан,"Dentafill Plyus, ООО",Отхаркивающее средство,R05CB01,DV/M 04130/05/22,25/05/22,,по рецепту
390,"АЦЕТОБРОНХ 200, АЦЕТОБРОНХ 600
(Atsetobronx 200, Atsetobronx 600)",acetylcysteine,"Гранулы для приготовления раствора для приема внутрь 200 мг, 600 мг N10, N20, N25, N30 (пакетики)",Узбекистан,"Remedy Group, СП ООО",Отхаркивающее средство,R05CB01,DV/M 04003/12/21,23/12/21,,по рецепту
391,"АЦЕТОБРОНХ 300
(Acetobron 300)",acetylcysteine,"Раствор для инъекций 300 мг/3 мл 3 мл N5, N10 (2х5) (ампулы)",Узбекистан,"Remedy Group, СП ООО",Отхаркивающее средство,R05CB01,DV/M 03826/06/21,15/06/21,,по рецепту
392,"АЦИКЛОВИР SD
(Aciclovirum SD)",aciclovir,"Таблетки 200 мг, 400 мг N10 (1х10), N20 (2х10), N30 (3х10), N60 (6х10), N100 (10х10) (упаковки контурные ячейковые)",Узбекистан,"Sharq Darmon, OOO",Противовирусное средство,J05AB01,DV/M 00593/01/16,15.01.16 12.02.21,,по рецепту
393,"АЦИКЛОВИР
(Atsiklovir)",acyclovir,"Мазь 5% 5 г, 10 г, 15 г (тубы)",Узбекистан,"Dentafill Plyus, ООО",Противовирусное средство,D06ВВ03,DV/M 02676/07/19,23.07.19 31.01.25,,без рецепта
394,"АЦИКЛОВИР
(Atsiklovir)",aciclovir,"Мазь 5 % 10 г, 15 г (тубы)",Узбекистан,"Pharmacon LLC, OOO",Противовирусное средство,D06BB03,DV/M 02239/08/18,24.08.18 30.09.24,,без рецепта
395,"АЦИКЛОВИР
(Atsiklovir)",aciclovir,"Мазь 5% 10 г, 15 г, 20 г, 25 г (тубы)",Узбекистан,"Ziyo Nur Farm, ЧП",Противовирусное средство,D06BB03,DV/M 04425/05/23,05/05/23,,без рецепта
396,"АЦИКЛОВИР
(Atsiklovir)",aciclovir,"Таблетки 0,2 г N10, N10 (1х10), N20 (2х10), N30 (3х10), N50 (5х10) (упаковки контурные ячейковые); N10 (упаковки контурные безъячейковые)",Узбекистан,"Lafz, ООО",Противовирусное средство,J05AB01,DV/M 01428/04/17,11.04.17 02.08.22,,по рецепту
397,"АЦИКЛОВИР
(Atsiklovir)",aciclovir,"Таблетки 200 мг, 400 мг N10, N10 (1х10), N20 (2х10) (упаковки контурные ячейковые, блистеры)",Узбекистан,"Radiks, OOO",Противовирусное средство,J05AB01,DV/M 04304/11/22,14/11/22,,по рецепту
398,"АЦИКЛОВИР
(Atsiklovir)",aciclovir,"Таблетки 400 мг №10 (1x10), №20 (2х10), №30 (3х10), №50 (5х10), №60 (6х10), №100 (10х10) (упаковки контурные ячейковые), №20, №30, №50, №60, №100 (ПЭТ флаконы)",Узбекистан,"Samo, OOO",Противомикробные препараты для системного использования. Противовирусные препараты для системного применения. Противовирусные препараты прямого действия. Нуклеозиды и нуклеотиды. Ацикловир,J05AB01,DV/M 05140/08/25,27.08.25,,по рецепту
399,"АЦИКЛОВИР
(Atsiklovir)",aciclovir,"Таблетки 200 мг N10 (1х10), N20 (2х10), N30 (3х10) (упаковки контурные ячейковые)",Узбекистан,"Ziyo Nur Farm, ЧП",Противовирусное средство,J05AB01,DV/M 04464/05/23,30/05/23,,по рецепту
400,"АЦИКЛОВИР-NGP
(Atsiklovir-NGP)",aciclovir,"Таблетки 200 мг, N10 (1х10), N 20 (2х10), (упаковки контурные ячейковые)",Узбекистан,"Neogalenpharm, ООО",Противовирусное средство,J05AB01,DV/M 01874/11/17,21.11.17 20.09.22,,по рецепту
401,"АЦИКЛОВИР-RG
(Atsiklovir-RG)",aciclovir,"Таблетки 200 мг №10 (1x10), №20 (2х10), №30 (3х10) (упаковки контурные ячейковые)",Узбекистан,"Remedy Group, СП ООО","Противовирусные препараты системного действия. Противовирусные препараты прямого действия. Нуклеозиды и нуклеотиды, кроме ингибиторов обратной транскриптазы",J05AB01,DV/M 02000/02/18,20.02.18 25.07.25,,по рецепту
402,"АЦИКЛОВИР-НИКА
(Atsiklovir-Nika)",aciclovir,"Таблетки 200 мг N20 (2х10), N30 (3х10) (контурные ячейковые упаковки)",Узбекистан,"Nika Pharm, ООО",Противовирусное средство,J05AB01,DV/M 01850/11/17,15.11.17 30.11.22,,по рецепту
403,"АЦЦЛАБС
(Acclabs)",comb.drug (asetylcysteine; ascorbic acis),"Порошок для приготовления раствора для приема внутрь со вкусом апельсина 3 г N5, N10, N20, N25, N50 (саше пакетики)",Узбекистан,"Nika Pharm, ООО для Pharmalabs Trade Group, ЧП",Отхаркивающее средство,R05CB01,DV/M 01286/02/17,03.02.17 29.03.22,,без рецепта
404,"БАГАТИН
(Bagatin)",gabapentin,"Капсулы 100 мг; 300 мг N2 (1х2), N28 (4х7), N28 (2х14), N30 (3х10), N30 (2х15) (упаковки контурные ячейковые)",Узбекистан,"Novugen Pharma, ИП ООО",Противосудорожное средство,N03AX12,DV/M 04475/06/23,08/06/23,,по рецепту
